shipment_id,order_id,carrier,tracking_number,current_status,status_details,last_updated
SHIP7071,ORD5092,USPS,6715717512411,Delivered,Delivered to front porch.,2024-10-01 01:38:43.121134
SHIP7072,ORD5093,DHL,8616003390363,Delayed,Weather event in transit region,2024-10-09 06:25:52.166434
SHIP7073,ORD5094,UPS,9591745022682,Delivered,Delivered to front porch.,2024-10-05 10:56:06.847175
SHIP7074,ORD5097,FedEx,4287976739974,Delivered,Delivered to front porch.,2024-09-30 20:17:45.905704
SHIP7075,ORD5098,FedEx,7624928343068,Delivered,Delivered to front porch.,2024-10-02 12:30:47.615412
SHIP7076,ORD5099,USPS,4972685806221,Delivered,Delivered to front porch.,2024-10-02 02:25:28.605236
SHIP7077,ORD5100,UPS,5120804290898,Delivered,Delivered to front porch.,2024-09-30 13:10:46.087149
SHIP7078,ORD5102,UPS,2702687871789,Delivered,Delivered to front porch.,2024-10-05 11:52:48.772429
SHIP7079,ORD5103,USPS,7964222812557,Delivered,Delivered to front porch.,2024-10-06 14:41:05.481274
SHIP7080,ORD5104,USPS,6524408484346,Delayed,Logistics issue at sorting hub,2024-10-10 23:03:41.377612
SHIP7081,ORD5106,USPS,5832610695582,Delivered,Delivered to front porch.,2024-10-05 10:39:44.671522
SHIP7082,ORD5107,UPS,6688921325200,Delivered,Delivered to front porch.,2024-10-06 16:25:29.568844
SHIP7083,ORD5109,DHL,0212466625189,Delayed,Logistics issue at sorting hub,2024-10-05 10:50:17.326371
SHIP7084,ORD5111,USPS,1331807293494,Delivered,Delivered to front porch.,2024-10-02 21:33:26.542010
SHIP7085,ORD5112,UPS,2667432140049,Delayed,Vehicle breakdown,2024-10-15 10:58:21.108271
SHIP7086,ORD5113,UPS,3576648944749,Delivered,Delivered to front porch.,2024-10-04 17:40:48.066571
SHIP7087,ORD5114,FedEx,8009356672338,Lost,Package missing after last scan. Investigation opened.,2024-10-01 10:06:53.776120
SHIP7088,ORD5117,DHL,7396886018530,Delivered,Delivered to front porch.,2024-10-02 13:23:58.457042
SHIP7089,ORD5118,UPS,7166652027413,Delivered,Delivered to front porch.,2024-10-03 01:56:54.752510
SHIP7090,ORD5119,UPS,7970518808548,Delivered,Delivered to front porch.,2024-10-04 18:11:09.486465
SHIP7091,ORD5120,UPS,1839383255870,Delivered,Delivered to front porch.,2024-10-07 01:13:53.374115
SHIP7092,ORD5121,UPS,4406030793855,Delivered,Delivered to front porch.,2024-10-05 21:19:11.597221
SHIP7093,ORD5122,DHL,5942987463834,Delayed,Vehicle breakdown,2024-10-12 21:59:34.873676
SHIP7094,ORD5123,DHL,9201061157387,Delivered,Delivered to front porch.,2024-10-09 12:26:37.610225
SHIP7095,ORD5124,UPS,1261449836929,Delivered,Delivered to front porch.,2024-10-09 16:46:57.438246
SHIP7096,ORD5125,USPS,8711443710686,Delivered,Delivered to front porch.,2024-10-02 23:26:18.812240
SHIP7097,ORD5126,UPS,8075178757805,Lost,Package missing after last scan. Investigation opened.,2024-10-01 01:35:10.090192
SHIP7098,ORD5127,DHL,6518958238153,Delivered,Delivered to front porch.,2024-10-08 16:58:21.334761
SHIP7099,ORD5128,FedEx,8188946271370,Delivered,Delivered to front porch.,2024-10-01 05:12:09.402239
SHIP7100,ORD5129,USPS,2825357612120,Delivered,Delivered to front porch.,2024-10-03 05:46:43.052083
SHIP7101,ORD5130,UPS,0362738866144,Delivered,Delivered to front porch.,2024-09-30 23:07:12.266511
SHIP7102,ORD5131,UPS,5994599656128,Delayed,Logistics issue at sorting hub,2024-10-06 22:23:05.185982
SHIP7103,ORD5132,DHL,2291732188960,Delayed,Logistics issue at sorting hub,2024-10-08 04:06:18.880481
SHIP7104,ORD5133,FedEx,8533028410862,Delivered,Delivered to front porch.,2024-10-06 12:03:18.841299
SHIP7105,ORD5134,DHL,0867748291547,Delayed,Weather event in transit region,2024-10-10 05:38:51.692341
SHIP7106,ORD5135,USPS,5967151368555,Delivered,Delivered to front porch.,2024-10-08 09:10:23.498227
SHIP7107,ORD5136,DHL,4266648019743,Delivered,Delivered to front porch.,2024-10-05 12:59:39.707640
SHIP7108,ORD5138,DHL,7553952597553,Delayed,Weather event in transit region,2024-10-17 20:58:33.255905
SHIP7109,ORD5139,UPS,8574136404053,Delayed,Logistics issue at sorting hub,2024-10-10 07:54:46.420373
SHIP7110,ORD5141,DHL,9166879691433,Delayed,Weather event in transit region,2024-10-12 09:37:17.763626
SHIP7111,ORD5142,DHL,0949615744506,Delivered,Delivered to front porch.,2024-10-09 07:35:59.434763
SHIP7112,ORD5143,USPS,4231844465175,Delayed,Weather event in transit region,2024-10-11 22:28:28.968892
SHIP7113,ORD5145,UPS,8688812334418,Delivered,Delivered to front porch.,2024-10-02 21:20:47.072553
SHIP7114,ORD5147,USPS,0805513124997,Delivered,Delivered to front porch.,2024-10-06 19:06:36.389791
SHIP7115,ORD5148,UPS,6338468543277,Delivered,Delivered to front porch.,2024-10-06 23:59:30.288289
SHIP7116,ORD5149,USPS,7041213372686,Delivered,Delivered to front porch.,2024-10-09 00:09:58.571289
SHIP7117,ORD5150,FedEx,9894499116196,Delivered,Delivered to front porch.,2024-10-03 00:05:10.555198
SHIP7118,ORD5151,UPS,2848202381170,Delivered,Delivered to front porch.,2024-10-04 13:55:55.213322
SHIP7119,ORD5154,USPS,7044105526679,Delivered,Delivered to front porch.,2024-10-04 00:36:41.392869
SHIP7120,ORD5156,FedEx,7325086233870,Delayed,Weather event in transit region,2024-10-17 23:11:01.271666
SHIP7121,ORD5158,USPS,8330907301392,Delivered,Delivered to front porch.,2024-10-03 13:33:44.267754
SHIP7122,ORD5159,DHL,8472530344480,Delivered,Delivered to front porch.,2024-10-06 12:31:25.414886
SHIP7123,ORD5160,USPS,7142380868801,Delivered,Delivered to front porch.,2024-10-08 08:36:37.865993
SHIP7124,ORD5161,DHL,2611842185527,Delayed,Weather event in transit region,2024-10-13 15:58:31.179576
SHIP7125,ORD5162,FedEx,3308001550928,Delivered,Delivered to front porch.,2024-10-09 12:09:36.850337
SHIP7126,ORD5164,UPS,2538646264633,Delayed,Weather event in transit region,2024-10-12 21:02:16.226288
SHIP7127,ORD5168,DHL,0315149924149,Lost,Package missing after last scan. Investigation opened.,2024-10-02 23:27:45.679276
SHIP7128,ORD5169,FedEx,5299639333749,Delivered,Delivered to front porch.,2024-10-10 14:41:10.140638
SHIP7129,ORD5170,FedEx,4685692162463,Delivered,Delivered to front porch.,2024-10-06 13:09:33.944490
SHIP7130,ORD5171,USPS,7511935012479,Delivered,Delivered to front porch.,2024-10-09 15:13:14.333360
SHIP7131,ORD5173,UPS,4116826546519,Delivered,Delivered to front porch.,2024-10-09 08:49:08.617502
SHIP7132,ORD5174,UPS,9011587499317,Delivered,Delivered to front porch.,2024-10-04 15:24:46.826193
SHIP7133,ORD5175,DHL,8812791119531,Delivered,Delivered to front porch.,2024-10-09 04:00:31.265412
SHIP7134,ORD5176,DHL,5196736069437,Delivered,Delivered to front porch.,2024-10-04 05:47:41.451209
SHIP7135,ORD5177,FedEx,7309855431032,Delivered,Delivered to front porch.,2024-10-07 21:00:38.798347
SHIP7136,ORD5178,UPS,7266212428077,Delivered,Delivered to front porch.,2024-10-11 16:38:37.482768
SHIP7137,ORD5179,DHL,6271886753166,Delivered,Delivered to front porch.,2024-10-04 21:25:45.964597
SHIP7138,ORD5180,UPS,3185317307435,Delayed,Logistics issue at sorting hub,2024-10-18 06:54:05.139058
SHIP7139,ORD5181,FedEx,5990857853506,Delivered,Delivered to front porch.,2024-10-01 21:23:23.819831
SHIP7140,ORD5182,UPS,6693709347695,Delivered,Delivered to front porch.,2024-10-10 01:15:19.546194
SHIP7141,ORD5183,DHL,4744919961057,Delayed,Vehicle breakdown,2024-10-11 07:27:18.977210
SHIP7142,ORD5184,USPS,4998429512272,Delivered,Delivered to front porch.,2024-10-02 12:55:37.381531
SHIP7143,ORD5185,USPS,2681060623163,Delivered,Delivered to front porch.,2024-10-09 14:33:47.300714
SHIP7144,ORD5186,UPS,1554263269654,Delayed,Vehicle breakdown,2024-10-13 18:29:27.319142
SHIP7145,ORD5188,USPS,5439148686749,Delivered,Delivered to front porch.,2024-10-03 12:17:35.575616
SHIP7146,ORD5189,DHL,0502156543191,Delivered,Delivered to front porch.,2024-10-10 02:31:37.753212
SHIP7147,ORD5190,FedEx,3559732867681,Delivered,Delivered to front porch.,2024-10-03 03:47:45.584553
SHIP7148,ORD5191,DHL,5498859861081,Delayed,Vehicle breakdown,2024-10-13 20:22:50.214294
SHIP7149,ORD5192,DHL,6396905894658,Delivered,Delivered to front porch.,2024-10-04 21:54:14.537709
SHIP7150,ORD5193,UPS,8533341289978,Delivered,Delivered to front porch.,2024-10-01 22:33:04.364968
SHIP7151,ORD5195,UPS,5133964373349,Delivered,Delivered to front porch.,2024-10-02 01:03:19.637394
SHIP7152,ORD5196,UPS,2763462432199,Delivered,Delivered to front porch.,2024-10-03 11:53:54.327549
SHIP7153,ORD5197,FedEx,2656807508478,Delivered,Delivered to front porch.,2024-10-07 17:56:05.435515
SHIP7154,ORD5198,DHL,7506442177469,Delivered,Delivered to front porch.,2024-10-09 08:19:55.270318
SHIP7155,ORD5199,FedEx,0331931713692,Delayed,Vehicle breakdown,2024-10-12 13:05:15.454117
SHIP7156,ORD5200,UPS,2759767870613,Delivered,Delivered to front porch.,2024-10-02 20:46:47.027802
SHIP7157,ORD5201,UPS,1582351053397,Delivered,Delivered to front porch.,2024-10-03 01:21:32.591063
SHIP7158,ORD5203,DHL,1361226675434,Delivered,Delivered to front porch.,2024-10-03 15:10:17.596306
SHIP7159,ORD5204,FedEx,3921637302886,Delivered,Delivered to front porch.,2024-10-09 11:47:37.374634
SHIP7160,ORD5205,DHL,8782099849839,Delivered,Delivered to front porch.,2024-10-06 23:00:56.256374
SHIP7161,ORD5206,USPS,4069395880662,Lost,Package missing after last scan. Investigation opened.,2024-10-04 15:25:18.392100
SHIP7162,ORD5207,FedEx,0441764803191,Delivered,Delivered to front porch.,2024-10-06 07:38:44.487976
SHIP7163,ORD5208,FedEx,9247367646460,Delivered,Delivered to front porch.,2024-10-06 07:02:59.102143
SHIP7164,ORD5209,UPS,9776286541490,Lost,Package missing after last scan. Investigation opened.,2024-10-04 07:15:26.719089
SHIP7165,ORD5210,DHL,5166456145490,Delivered,Delivered to front porch.,2024-10-06 03:05:37.700129
SHIP7166,ORD5212,DHL,3305695305780,Delivered,Delivered to front porch.,2024-10-09 01:21:51.276017
SHIP7167,ORD5213,UPS,4440867594841,Delayed,Vehicle breakdown,2024-10-13 15:11:07.662749
SHIP7168,ORD5214,DHL,7723543837676,Delivered,Delivered to front porch.,2024-10-05 14:22:56.248479
SHIP7169,ORD5215,UPS,3241891772646,Delivered,Delivered to front porch.,2024-10-05 06:23:12.163533
SHIP7170,ORD5216,FedEx,1444044285624,Delivered,Delivered to front porch.,2024-10-08 23:58:41.611955
SHIP7171,ORD5217,USPS,6384763113790,Delivered,Delivered to front porch.,2024-10-08 07:04:20.394325
SHIP7172,ORD5218,UPS,7238900829756,Delivered,Delivered to front porch.,2024-10-05 11:56:40.454718
SHIP7173,ORD5219,FedEx,5637402518366,Delayed,Weather event in transit region,2024-10-14 04:38:59.808352
SHIP7174,ORD5220,UPS,4541920800180,Delivered,Delivered to front porch.,2024-10-11 04:58:05.899265
SHIP7175,ORD5221,UPS,9083284920579,Delivered,Delivered to front porch.,2024-10-04 20:21:21.234985
SHIP7176,ORD5223,FedEx,5054523210557,Delivered,Delivered to front porch.,2024-10-10 20:33:06.638590
SHIP7177,ORD5224,FedEx,4515771483403,Lost,Package missing after last scan. Investigation opened.,2024-10-03 22:21:58.638790
SHIP7178,ORD5225,DHL,6770350921013,Delayed,Logistics issue at sorting hub,2024-10-19 14:02:55.861727
SHIP7179,ORD5226,UPS,7353950602361,Delivered,Delivered to front porch.,2024-10-11 18:53:44.932351
SHIP7180,ORD5227,USPS,8191209496427,Delayed,Vehicle breakdown,2024-10-15 20:20:28.695311
SHIP7181,ORD5228,FedEx,7024051638817,Delivered,Delivered to front porch.,2024-10-05 16:31:22.693391
SHIP7182,ORD5229,FedEx,1558395451147,Delivered,Delivered to front porch.,2024-10-05 11:44:09.741797
SHIP7183,ORD5230,USPS,5487127721226,Delivered,Delivered to front porch.,2024-10-07 19:35:06.064826
SHIP7184,ORD5231,DHL,7533870529799,Delivered,Delivered to front porch.,2024-10-12 19:45:21.245680
SHIP7185,ORD5233,FedEx,6790044350967,Delivered,Delivered to front porch.,2024-10-09 07:37:04.535719
SHIP7186,ORD5234,DHL,9927534728587,Delivered,Delivered to front porch.,2024-10-11 01:24:10.558663
SHIP7187,ORD5235,UPS,2144953016676,Delivered,Delivered to front porch.,2024-10-10 05:39:08.612481
SHIP7188,ORD5236,FedEx,8393053221402,Delivered,Delivered to front porch.,2024-10-05 10:48:05.338892
SHIP7189,ORD5237,USPS,7399078958515,Delivered,Delivered to front porch.,2024-10-06 17:36:22.425251
SHIP7190,ORD5238,UPS,6532513080230,Delivered,Delivered to front porch.,2024-10-10 21:21:29.476718
SHIP7191,ORD5240,DHL,3607787019828,Delivered,Delivered to front porch.,2024-10-06 14:08:19.376739
SHIP7192,ORD5241,UPS,8920376554957,Delivered,Delivered to front porch.,2024-10-06 10:14:32.191321
SHIP7193,ORD5243,FedEx,0325650212987,Delayed,Logistics issue at sorting hub,2024-10-18 04:07:42.154998
SHIP7194,ORD5244,FedEx,9306076802014,Delivered,Delivered to front porch.,2024-10-06 18:29:47.983522
SHIP7195,ORD5245,FedEx,1765438171263,Delayed,Vehicle breakdown,2024-10-12 03:36:49.311125
SHIP7196,ORD5246,USPS,6947658781216,Lost,Package missing after last scan. Investigation opened.,2024-10-05 06:46:56.188486
SHIP7197,ORD5247,UPS,3363698802477,Delivered,Delivered to front porch.,2024-10-08 19:49:21.894983
SHIP7198,ORD5248,DHL,7730830167408,Delivered,Delivered to front porch.,2024-10-13 01:46:35.366586
SHIP7199,ORD5249,FedEx,2203360475183,Delayed,Vehicle breakdown,2024-10-13 19:54:13.596763
SHIP7200,ORD5250,USPS,0067990315286,Delivered,Delivered to front porch.,2024-10-11 13:58:12.140996
SHIP7201,ORD5251,UPS,1658056832107,Delivered,Delivered to front porch.,2024-10-05 05:43:43.772753
SHIP7202,ORD5252,USPS,6844835160577,Delivered,Delivered to front porch.,2024-10-08 21:20:36.198285
SHIP7203,ORD5253,USPS,9798615150494,Delivered,Delivered to front porch.,2024-10-10 14:00:44.465648
SHIP7204,ORD5254,USPS,2228924619193,Delayed,Weather event in transit region,2024-10-14 19:42:01.105031
SHIP7205,ORD5255,USPS,5641000206976,Delayed,Logistics issue at sorting hub,2024-10-10 20:44:17.817155
SHIP7206,ORD5256,UPS,5551155827547,Delivered,Delivered to front porch.,2024-10-11 12:12:09.510960
SHIP7207,ORD5257,UPS,4908690897282,Delivered,Delivered to front porch.,2024-10-09 09:15:08.645171
SHIP7208,ORD5258,UPS,8246614598683,Lost,Package missing after last scan. Investigation opened.,2024-10-05 19:09:23.728975
SHIP7209,ORD5259,DHL,9641582134182,Delivered,Delivered to front porch.,2024-10-05 19:51:20.697951
SHIP7210,ORD5260,USPS,3576009429663,Delivered,Delivered to front porch.,2024-10-11 04:00:28.996678
SHIP7211,ORD5261,DHL,7152617849145,Delayed,Vehicle breakdown,2024-10-12 16:19:54.991565
SHIP7212,ORD5262,USPS,8956031424198,Delivered,Delivered to front porch.,2024-10-10 17:31:48.968012
SHIP7213,ORD5263,USPS,9768694049323,Delayed,Vehicle breakdown,2024-10-13 10:38:33.505083
SHIP7214,ORD5264,FedEx,4811925452098,Delivered,Delivered to front porch.,2024-10-09 21:37:10.915166
SHIP7215,ORD5265,DHL,8348319333351,Delivered,Delivered to front porch.,2024-10-10 01:56:42.583292
SHIP7216,ORD5266,USPS,1142002878603,Delivered,Delivered to front porch.,2024-10-07 23:47:25.328020
SHIP7217,ORD5267,USPS,7279678379494,Delivered,Delivered to front porch.,2024-10-05 21:16:11.756372
SHIP7218,ORD5268,UPS,4161630223675,Delivered,Delivered to front porch.,2024-10-06 13:04:06.379575
SHIP7219,ORD5269,USPS,3817090984441,Delivered,Delivered to front porch.,2024-10-12 15:37:01.681587
SHIP7220,ORD5270,FedEx,0088841639641,Delivered,Delivered to front porch.,2024-10-08 04:27:54.637746
SHIP7221,ORD5271,DHL,7631816808325,Delivered,Delivered to front porch.,2024-10-09 00:47:29.052829
SHIP7222,ORD5272,UPS,5932599676012,Delivered,Delivered to front porch.,2024-10-08 06:34:33.910129
SHIP7223,ORD5273,USPS,4580222252693,Delayed,Logistics issue at sorting hub,2024-10-12 21:08:28.059442
SHIP7224,ORD5274,UPS,8007683873145,Delivered,Delivered to front porch.,2024-10-06 23:33:13.932354
SHIP7225,ORD5276,DHL,5709060137927,Delivered,Delivered to front porch.,2024-10-06 02:00:45.366749
SHIP7226,ORD5277,FedEx,8798902744963,Delivered,Delivered to front porch.,2024-10-10 10:03:05.378268
SHIP7227,ORD5278,DHL,6124717128346,Delivered,Delivered to front porch.,2024-10-09 18:16:59.523635
SHIP7228,ORD5279,UPS,2412827690766,Delivered,Delivered to front porch.,2024-10-08 20:15:09.541292
SHIP7229,ORD5280,USPS,6137404516746,Delayed,Logistics issue at sorting hub,2024-10-12 19:41:47.360814
SHIP7230,ORD5282,USPS,4010198533804,Delayed,Logistics issue at sorting hub,2024-10-15 21:43:14.900008
SHIP7231,ORD5283,DHL,6336642641498,Delayed,Weather event in transit region,2024-10-18 07:35:19.533144
SHIP7232,ORD5284,USPS,0465631709188,Delivered,Delivered to front porch.,2024-10-09 07:47:46.156079
SHIP7233,ORD5285,DHL,3758667061366,Delayed,Weather event in transit region,2024-10-15 05:56:20.408732
SHIP7234,ORD5286,UPS,9276544976113,Delivered,Delivered to front porch.,2024-10-11 15:45:52.663685
SHIP7235,ORD5287,DHL,4652705499083,Delivered,Delivered to front porch.,2024-10-09 11:50:20.265618
SHIP7236,ORD5288,DHL,9170635169210,Delivered,Delivered to front porch.,2024-10-14 13:06:51.187680
SHIP7237,ORD5289,UPS,2609913255811,Delayed,Logistics issue at sorting hub,2024-10-17 19:28:26.016224
SHIP7238,ORD5290,USPS,9140148665783,Delivered,Delivered to front porch.,2024-10-09 12:51:13.171532
SHIP7239,ORD5291,DHL,6389243923722,Delivered,Delivered to front porch.,2024-10-08 00:53:30.018387
SHIP7240,ORD5292,FedEx,9896864326155,Delivered,Delivered to front porch.,2024-10-06 09:32:57.887301
SHIP7241,ORD5294,DHL,2491283027378,Delivered,Delivered to front porch.,2024-10-11 17:40:33.240864
SHIP7242,ORD5295,FedEx,2128646585427,Delivered,Delivered to front porch.,2024-10-13 02:12:39.503084
SHIP7243,ORD5296,DHL,2506498694106,Delivered,Delivered to front porch.,2024-10-08 05:47:33.201660
SHIP7244,ORD5297,DHL,1635948303709,Delivered,Delivered to front porch.,2024-10-12 19:29:55.655734
SHIP7245,ORD5298,FedEx,0216049701758,Delivered,Delivered to front porch.,2024-10-13 21:12:52.673433
SHIP7246,ORD5299,USPS,2890354636066,Delivered,Delivered to front porch.,2024-10-10 20:00:08.031149
SHIP7247,ORD5300,UPS,9919839345422,Delivered,Delivered to front porch.,2024-10-14 17:40:26.823628
SHIP7248,ORD5301,DHL,7815388608136,Delivered,Delivered to front porch.,2024-10-07 17:28:03.781485
SHIP7249,ORD5302,FedEx,3733935253858,Delivered,Delivered to front porch.,2024-10-13 02:52:16.587833
SHIP7250,ORD5303,FedEx,9792238441113,Delivered,Delivered to front porch.,2024-10-09 18:56:11.187511
SHIP7251,ORD5305,UPS,8848533765933,Delivered,Delivered to front porch.,2024-10-12 07:03:26.236791
SHIP7252,ORD5306,UPS,8851882536635,Delivered,Delivered to front porch.,2024-10-11 03:06:01.801217
SHIP7253,ORD5307,DHL,7986819972840,Delivered,Delivered to front porch.,2024-10-08 09:21:47.120486
SHIP7254,ORD5308,UPS,8181289319549,Delivered,Delivered to front porch.,2024-10-08 09:04:07.734022
